,network,station,location,channel,start,end
0,1Z,CL008,,LFE,2021-04-30T00:00:00,2021-05-02T00:00:00
1,1Z,CL008,,LFN,2021-04-30T00:00:00,2021-05-02T00:00:00
2,1Z,CL008,,LFZ,2021-04-30T00:00:00,2021-05-02T00:00:00
3,1Z,CL008,,LQE,2021-04-30T00:00:00,2021-05-02T00:00:00
4,1Z,CL008,,LQN,2021-04-30T00:00:00,2021-05-02T00:00:00
5,1Z,CL008,,FFE,2021-04-30T00:00:00,2021-05-02T00:00:00
6,1Z,CL008,,FFN,2021-04-30T00:00:00,2021-05-02T00:00:00
7,1Z,CL008,,FFZ,2021-04-30T00:00:00,2021-05-02T00:00:00
8,1Z,CL008,,FQE,2021-04-30T00:00:00,2021-05-02T00:00:00
9,1Z,CL008,,FQN,2021-04-30T00:00:00,2021-05-02T00:00:00
10,1Z,CL008,,CFE,2021-04-30T00:00:00,2021-05-02T00:00:00
11,1Z,CL008,,CFN,2021-04-30T00:00:00,2021-05-02T00:00:00
12,1Z,CL008,,CFZ,2021-04-30T00:00:00,2021-05-02T00:00:00
13,1Z,CL008,,CQE,2021-04-30T00:00:00,2021-05-02T00:00:00
14,1Z,CL008,,CQN,2021-04-30T00:00:00,2021-05-02T00:00:00
